S	-5	0	1	1	100	8	8	8	16
after left	-5	0	3	1	8	8	100	8	15
after left	-5	0	2	1	8	8	8	100	14
after bash	-4	0	2	8	3	6	8	1	11
after forward	-3	0	2	3	4	6	3	8	8
after forward	-2	0	2	4	4	5	9	3	4
after bash	-1	0	2	4	1	2	9	4	1
after forward	0	0	2	1	7	8	7	4	0
S	3	-1	1	1	8	2	3	2	10
after bash	2	-1	1	8	2	1	2	1	7
after forward	1	-1	1	2	3	7	2	8	5
after right	1	-1	4	2	2	3	8	7	4
after forward	1	0	4	2	7	1	2	2	2
after left	1	0	1	2	1	2	7	2	1
after forward	0	0	1	1	6	3	2	2	0
S	-3	0	1	1	2	1	8	4	10
after left	-3	0	3	1	1	4	2	8	9
after left	-3	0	2	1	4	8	1	2	8
after forward	-2	0	2	4	5	2	1	1	4
after bash	-1	0	2	5	1	7	6	4	1
after forward	0	0	2	1	100	9	3	5	0
S	3	1	1	1	2	9	5	100	9
after forward	2	1	1	2	1	5	9	1	7
after forward	1	1	1	1	3	6	4	2	6
after forward	0	1	1	3	9	1	1	1	3
after left	0	1	3	3	1	1	9	1	1
after forward	0	0	3	1	9	6	1	3	0
S	5	-4	1	1	7	4	7	1	30
after bash	4	-4	1	7	4	1	4	1	27
after forward	3	-4	1	4	4	2	4	7	23
after forward	2	-4	1	4	9	9	3	4	19
after bash	1	-4	1	9	4	2	5	4	16
after forward	0	-4	1	4	100	8	7	9	12
after right	0	-4	4	4	7	100	9	8	10
after bash	0	-3	4	7	4	100	5	4	7
after forward	0	-2	4	4	2	100	4	7	3
after forward	0	-1	4	2	1	100	5	4	1
after forward	0	0	4	1	2	100	4	2	0
S	2	7	1	1	3	2	1	8	29
after bash	1	7	1	3	2	3	3	1	26
after forward	0	7	1	2	1	6	9	3	24
after left	0	7	3	2	6	3	1	9	23
after bash	0	6	3	6	5	3	1	2	20
after forward	0	5	3	5	1	4	2	6	15
after forward	0	4	3	1	6	4	4	5	14
after bash	0	3	3	6	7	4	6	1	11
after forward	0	2	3	7	6	9	9	6	4
after bash	0	1	3	6	1	9	7	7	1
after forward	0	0	3	1	100	7	4	6	0
S	2	0	1	1	4	2	1	6	4
after bash	1	0	1	4	1	3	1	1	1
after forward	0	0	1	1	9	3	6	4	0
S	8	-9	1	1	1	100	6	100	47
after forward	7	-9	1	1	9	100	6	1	46
after bash	6	-9	1	9	7	100	2	1	43
after forward	5	-9	1	7	8	100	8	9	36
after bash	4	-9	1	8	4	100	8	7	33
after forward	3	-9	1	4	1	100	8	8	29
after forward	2	-9	1	1	4	100	6	4	28
after right	2	-9	4	1	6	4	4	100	27
after bash	2	-8	4	6	1	6	8	1	24
after forward	2	-7	4	1	6	8	2	6	23
after left	2	-7	1	1	8	6	6	2	22
after bash	1	-7	1	8	2	6	4	1	19
after forward	0	-7	1	2	4	8	7	8	17
after right	0	-7	4	2	7	4	8	8	16
after bash	0	-6	4	7	3	4	4	2	13
after forward	0	-5	4	3	4	1	5	7	10
after bash	0	-4	4	4	2	5	2	3	7
after forward	0	-3	4	2	7	4	6	4	5
after bash	0	-2	4	7	1	1	5	2	2
after forward	0	-1	4	1	1	8	6	7	1
after forward	0	0	4	1	100	1	9	1	0
S	-3	-1	1	1	4	100	5	2	10
after left	-3	-1	3	1	100	2	4	5	9
after left	-3	-1	2	1	2	5	100	4	8
after forward	-2	-1	2	2	2	3	100	1	6
after forward	-1	-1	2	2	6	1	100	2	4
after left	-1	-1	4	2	1	2	6	100	3
after forward	-1	0	4	1	5	3	1	2	2
after right	-1	0	2	1	1	5	2	3	1
after forward	0	0	2	1	9	7	6	1	0
S	0	-2	1	1	5	100	3	8	5
after right	0	-2	4	1	3	5	8	100	4
after bash	0	-1	4	3	1	3	3	1	1
after forward	0	0	4	1	6	9	1	3	0
S	3	2	1	1	7	7	9	7	15
after left	3	2	3	1	7	7	7	9	14
after bash	3	1	3	7	4	9	3	1	11
after forward	3	0	3	4	4	6	5	7	7
after right	3	0	1	4	5	4	7	6	5
after bash	2	0	1	5	1	8	3	4	2
after forward	1	0	1	1	1	8	7	5	1
after forward	0	0	1	1	2	6	7	1	0
S	-9	0	1	1	100	5	1	4	32
after left	-9	0	3	1	5	4	100	1	31
after left	-9	0	2	1	4	1	5	100	30
after forward	-8	0	2	4	8	4	3	1	26
after bash	-7	0	2	8	6	4	6	4	23
after forward	-6	0	2	6	7	2	8	8	17
after bash	-5	0	2	7	1	9	2	6	14
after forward	-4	0	2	1	2	6	3	7	13
after forward	-3	0	2	2	7	8	6	1	11
after forward	-2	0	2	7	9	4	9	2	4
after bash	-1	0	2	9	1	8	5	7	1
after forward	0	0	2	1	100	2	8	9	0
S	-2	-1	1	1	5	8	5	8	11
after left	-2	-1	3	1	8	8	5	5	10
after left	-2	-1	2	1	8	5	8	5	9
after bash	-1	-1	2	8	3	7	9	1	6
after forward	0	-1	2	3	7	1	5	8	3
after left	0	-1	4	3	1	8	7	5	1
after forward	0	0	4	1	2	7	3	3	0
S	7	-1	1	1	3	2	5	1	26
after right	7	-1	4	1	5	3	1	2	25
after forward	7	0	4	5	4	5	1	1	20
after left	7	0	1	5	5	1	4	1	17
after bash	6	0	1	5	1	3	8	5	14
after forward	5	0	1	1	2	9	4	5	13
